seller,price,cat1,cat2,cat3,title
rugs-love,0.032355,Drugs,Cannabis,Weed,'50 gr. of Critical Kush outdoor'
rugs-love,0.032529,Drugs,Cannabis,Hash,'50 gr. Hash Pollen Hashish Moroccan High Quality'
rugs-love,0.035565,Drugs,Stimulants,Metamphetamine,'5 Grams great quality Crystal Ice Meth'
rugs-love,0.035756,Drugs,Stimulants,Cocaine,'5 gr. Colombian Cocaine 88%+- UNCUT &amp; UNTOUCH '
rugs-love,0.03808,Drugs,Cannabis,Weed,'50 gr. Orange bud weed outdoor AAA+'
rugs-love,0.04221,Drugs,Empathogens,Ecstasy,'100 x Orange Owls 225mg MDMA XTC '
rugs-love,0.051892,Drugs,Cannabis,Hash,'100 gr. Hash Pollen Hashish Moroccan High Quality'
rugs-love,0.058034,Drugs,Cannabis,Weed,'100 gr. of Critical Kush outdoor'
rugs-love,0.061244,Drugs,Stimulants,Metamphetamine,'10 Grams great quality Crystal Ice Meth'
rugs-love,0.062864,Drugs,Stimulants,Cocaine,'10 gr. Colombian Cocaine 88%+- UNCUT &amp; UNTOUCH '
rugs-love,0.072056,Drugs,Cannabis,Weed,'100 gr. Orange bud weed outdoor AAA+'
rugs-love,0.076417,Drugs,Empathogens,Ecstasy,'200 x Orange Owls 225mg MDMA XTC '
rugs-love,0.102972,Drugs,Stimulants,Metamphetamine,'20 Grams great quality Crystal Ice Meth'
rugs-love,0.109392,Drugs,Cannabis,Weed,'200 gr. of Critical Kush outdoor'
rugs-love,0.113852,Drugs,Stimulants,Cocaine,'20 gr. Colombian Cocaine 88%+- UNCUT &amp; UNTOUCH '
rugs-love,0.180009,Drugs,Stimulants,Metamphetamine,'40 Grams great quality Crystal Ice Meth'
rugsofspain,0.002065,Drugs,Cannabis,Hash,'2 gr. Ketama Gold Top Hash'
rugsofspain,0.002568,Drugs,Empathogens,Ecstasy,'5 x Anonymous FACE 180 MG'
rugsofspain,0.002582,Drugs,Cannabis,Weed,'2 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
rugsofspain,0.00284,Drugs,Opiates,Heroin,'0,25 gram Pure Quality HEROIN A++'
rugsofspain,0.004131,Drugs,Cannabis,Hash,'5 gr. Ketama Gold Top Hash'
rugsofspain,0.004131,Drugs,Empathogens,Ecstasy,'10 x Anonymous FACE 180 MG'
rugsofspain,0.004776,Drugs,Opiates,Heroin,'0,5 gram Pure Quality HEROIN A++'
rugsofspain,0.005422,Drugs,Cannabis,Weed,'5 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
rugsofspain,0.007358,Drugs,Cannabis,Hash,'10 gr. Ketama Gold Top Hash'
rugsofspain,0.00796,Drugs,Empathogens,Ecstasy,'25 x Anonymous FACE 180 MG'
rugsofspain,0.008003,Drugs,Opiates,Heroin,'1 gram Pure Quality HEROIN A++'
rugsofspain,0.009939,Drugs,Cannabis,Weed,'10 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
rugsofspain,0.013167,Drugs,Cannabis,Hash,'20 gr. Ketama Gold Top Hash'
rugsofspain,0.01438,Drugs,Empathogens,Ecstasy,'50 x Anonymous FACE 180 MG'
rugsofspain,0.017801,Drugs,Opiates,Heroin,'2,5 gram Pure Quality HEROIN A++'
rugsofspain,0.01833,Drugs,Cannabis,Weed,'20 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
rugsofspain,0.026012,Drugs,Empathogens,Ecstasy,'100 x Anonymous FACE 180 MG'
rugsofspain,0.029302,Drugs,Cannabis,Hash,'50 gr. Ketama Gold Top Hash'
rugsofspain,0.029947,Drugs,Opiates,Heroin,'5 gram Pure Quality HEROIN A++'
rugsofspain,0.037692,Drugs,Cannabis,Weed,'50 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
rugsofspain,0.051615,Drugs,Empathogens,Ecstasy,'250 x Anonymous FACE 180 MG'
rugsofspain,0.055119,Drugs,Cannabis,Hash,'100 gr. Ketama Gold Top Hash'
rugsofspain,0.055764,Drugs,Opiates,Heroin,'10 gram Pure Quality HEROIN A++'
rugsofspain,0.072545,Drugs,Cannabis,Weed,'100 gr. AMNESIA Haze. Top Quality AAA+ outdoor'
rugsofspain,0.096553,Drugs,Empathogens,Ecstasy,'500 x Anonymous FACE 180 MG'
rugsofspain,0.099652,Drugs,Opiates,Heroin,'20 gram Pure Quality HEROIN A++'
rugsofspain,0.129213,Drugs,Cannabis,Weed,'200 gr. AMNESIA Haze. Top Quality AAA+ outdoor Powerpack'
rugs-queen,0.002318,Drugs,Empathogens,Ecstasy,'2 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.002568,Drugs,Cannabis,Weed,'2 Grams Hydro Weed indoor'
rugs-queen,0.002582,Drugs,Cannabis,Hash,'2 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.00284,Drugs,Cannabis,Weed,'2 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.00284,Drugs,Stimulants,Metamphetamine,'0,25 gr  Pure CRYSTAL METH AAA+'
rugs-queen,0.003477,Drugs,Stimulants,Cocaine,'0.25 gr PURE QUALITY COLOMBIAN COCAIN'
rugs-queen,0.004109,Drugs,Cannabis,Weed,'3,5 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.004131,Drugs,Cannabis,Hash,'3,5 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.004131,Drugs,Cannabis,Weed,'3.5 Grams Hydro Weed indoor'
rugs-queen,0.004765,Drugs,Empathogens,Ecstasy,'5 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.004776,Drugs,Stimulants,Metamphetamine,'0,5 gr  Pure CRYSTAL METH AAA+'
rugs-queen,0.005408,Drugs,Stimulants,Cocaine,'0.5 gr PURE QUALITY COLOMBIAN COCAIN'
rugs-queen,0.007447,Drugs,Cannabis,Weed,'7 Grams Hydro Weed indoor'
rugs-queen,0.007469,Drugs,Cannabis,Hash,'7 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.007487,Drugs,Cannabis,Weed,'7 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.007984,Drugs,Empathogens,Ecstasy,'10 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.008003,Drugs,Stimulants,Metamphetamine,'1 gr  Pure CRYSTAL METH AAA+'
rugs-queen,0.009272,Drugs,Stimulants,Cocaine,'1 gr PURE QUALITY COLOMBIAN COCAIN'
rugs-queen,0.013096,Drugs,Cannabis,Weed,'14 Grams Hydro Weed indoor'
rugs-queen,0.013135,Drugs,Cannabis,Hash,'14 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.013167,Drugs,Cannabis,Hash,'14 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.013167,Drugs,Cannabis,Weed,'14 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.016354,Drugs,Empathogens,Ecstasy,'25 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.023368,Drugs,Cannabis,Weed,'28 Grams Hydro Weed indoor'
rugs-queen,0.023437,Drugs,Cannabis,Hash,'28 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.023477,Drugs,Cannabis,Weed,'28 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.024784,Drugs,Stimulants,Metamphetamine,'3,5 gr  Pure CRYSTAL METH AAA+'
rugs-queen,0.026012,Drugs,Empathogens,Ecstasy,'50 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.0273,Drugs,Stimulants,Cocaine,'3,5 gr PURE QUALITY COLOMBIAN COCAIN'
rugs-queen,0.042627,Drugs,Cannabis,Weed,'56 Grams Hydro Weed indoor'
rugs-queen,0.042753,Drugs,Cannabis,Hash,'56 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.042827,Drugs,Cannabis,Weed,'56 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.045437,Drugs,Stimulants,Metamphetamine,'7 gr  Pure CRYSTAL METH AAA+'
rugs-queen,0.04726,Drugs,Empathogens,Ecstasy,'100 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.049192,Drugs,Stimulants,Cocaine,'7 gr PURE QUALITY COLOMBIAN COCAIN'
rugs-queen,0.077293,Drugs,Cannabis,Weed,'112 Grams Hydro Weed indoor'
rugs-queen,0.077293,Drugs,Cannabis,Weed,'112 gr. Super Silver Haze Weed AAA+ indoor'
rugs-queen,0.077522,Drugs,Cannabis,Hash,'112 gr. High Quality Hash Maroc Polm AAA+'
rugs-queen,0.08029,Drugs,Stimulants,Metamphetamine,'14 gr  Pure CRYSTAL METH AAA+'
rugs-queen,0.090555,Drugs,Stimulants,Cocaine,'14 gr PURE QUALITY COLOMBIAN COCAIN'
rugs-queen,0.096838,Drugs,Empathogens,Ecstasy,'250 x Rolls Royce XTC 230MG Pills'
rugs-queen,0.148704,Drugs,Stimulants,Metamphetamine,'28 gr  Pure CRYSTAL METH AAA+'
rugs-spirit,0.002054,Drugs,Psychedelics,LSD,'2 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.002324,Drugs,Cannabis,Hash,'2 gr  caramello morrocan hash AAA+'
rugs-spirit,0.002825,Drugs,Cannabis,Weed,'2 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.002825,Drugs,Cannabis,Weed,'2 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-spirit,0.003743,Drugs,Cannabis,Hash,'3,5 gr  caramello morrocan hash AAA+'
rugs-spirit,0.004109,Drugs,Cannabis,Weed,'3,5 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.004109,Drugs,Psychedelics,LSD,'5 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.004365,Drugs,Cannabis,Weed,'3,5 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-spirit,0.006454,Drugs,Cannabis,Hash,'7 gr  caramello morrocan hash AAA+'
rugs-spirit,0.007358,Drugs,Psychedelics,LSD,'10 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.007704,Drugs,Cannabis,Weed,'7 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.007704,Drugs,Cannabis,Weed,'7 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-spirit,0.011876,Drugs,Cannabis,Hash,'14 gr  caramello morrocan hash AAA+'
rugs-spirit,0.013738,Drugs,Cannabis,Weed,'14 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.013738,Drugs,Cannabis,Weed,'14 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-spirit,0.01438,Drugs,Psychedelics,LSD,'25 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.021557,Drugs,Cannabis,Hash,'28 gr  caramello morrocan hash AAA+'
rugs-spirit,0.024652,Drugs,Psychedelics,LSD,'50 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.025294,Drugs,Cannabis,Weed,'28 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.025294,Drugs,Cannabis,Weed,'28 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-spirit,0.040274,Drugs,Cannabis,Hash,'56 gr  caramello morrocan hash AAA+'
rugs-spirit,0.045195,Drugs,Psychedelics,LSD,'100 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.046479,Drugs,Cannabis,Weed,'56 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.046479,Drugs,Cannabis,Weed,'56 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-spirit,0.076417,Drugs,Cannabis,Hash,'112 gr  caramello morrocan hash AAA+'
rugs-spirit,0.084106,Drugs,Psychedelics,LSD,'200 x 250ug High purity 99.9% LSD (happy Bears)'
rugs-spirit,0.086281,Drugs,Cannabis,Weed,'112 gr. of Super Silver Haze AAA+ indoor'
rugs-spirit,0.086281,Drugs,Cannabis,Weed,'112 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
rugs-total,0.002051,Drugs,Psychedelics,LSD,'2 x  200ug SUN LSD BLOTTERS '
rugs-total,0.002821,Drugs,Cannabis,Hash,'2,5 gr. Nepalese Hashish AAA Grade'
rugs-total,0.002821,Drugs,Cannabis,Weed,'2,5 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.002821,Drugs,Cannabis,Weed,'2,5 gr SOUR DIESEL Weed AAA+'
rugs-total,0.004103,Drugs,Psychedelics,LSD,'5 x  200ug SUN LSD BLOTTERS '
rugs-total,0.004744,Drugs,Stimulants,Metamphetamine,'0.5 gr Crystal meth &quot;DEX-variant&quot; AAA+ (Shards'
rugs-total,0.004745,Drugs,Cannabis,Hash,'5 gr. Nepalese Hashish AAA Grade'
rugs-total,0.005001,Drugs,Cannabis,Weed,'5 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.005001,Drugs,Cannabis,Weed,'5 gr SOUR DIESEL Weed AAA+'
rugs-total,0.007308,Drugs,Psychedelics,LSD,'10 x  200ug SUN LSD BLOTTERS '
rugs-total,0.008592,Drugs,Cannabis,Hash,'10 gr. Nepalese Hashish AAA Grade'
rugs-total,0.00859,Drugs,Stimulants,Metamphetamine,'1 gr Crystal meth &quot;DEX-variant&quot; AAA+ (Shards'
rugs-total,0.009233,Drugs,Cannabis,Weed,'10 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.009233,Drugs,Cannabis,Weed,'10 gr SOUR DIESEL Weed AAA+'
rugs-total,0.015642,Drugs,Psychedelics,LSD,'25 x  200ug SUN LSD BLOTTERS '
rugs-total,0.016287,Drugs,Cannabis,Hash,'20 gr. Nepalese Hashish AAA Grade'
rugs-total,0.017312,Drugs,Cannabis,Weed,'20 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.017312,Drugs,Cannabis,Weed,'20 gr SOUR DIESEL Weed AAA+'
rugs-total,0.019489,Drugs,Stimulants,Metamphetamine,'2.5 gr Crystal meth &quot;DEX-variant&quot; AAA+ (Shards'
rugs-total,0.025899,Drugs,Psychedelics,LSD,'50 x  200ug SUN LSD BLOTTERS '
rugs-total,0.034874,Drugs,Stimulants,Metamphetamine,'5 gr Crystal meth &quot;DEX-variant&quot; AAA+ (Shards'
rugs-total,0.035523,Drugs,Cannabis,Hash,'50 gr. Nepalese Hashish AAA Grade'
rugs-total,0.041935,Drugs,Cannabis,Weed,'50 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.041935,Drugs,Cannabis,Weed,'50 gr SOUR DIESEL Weed AAA+'
rugs-total,0.045131,Drugs,Psychedelics,LSD,'100 x  200ug SUN LSD BLOTTERS '
rugs-total,0.057953,Drugs,Cannabis,Hash,'100 gr. Nepalese Hashish AAA Grade'
rugs-total,0.064363,Drugs,Stimulants,Metamphetamine,'10 gr Crystal meth &quot;DEX-variant&quot; AAA+ (Shards'
rugs-total,0.07656,Drugs,Cannabis,Weed,'100 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.07656,Drugs,Cannabis,Weed,'100 gr SOUR DIESEL Weed AAA+'
rugs-total,0.077185,Drugs,Psychedelics,LSD,'200 x  200ug SUN LSD BLOTTERS '
rugs-total,0.102849,Drugs,Cannabis,Hash,'200 gr. Nepalese Hashish AAA Grade'
rugs-total,0.127215,Drugs,Cannabis,Weed,'200 gr.  Orange Budz AA+ INDOOR GROWN'
rugs-total,0.127215,Drugs,Cannabis,Weed,'200 gr SOUR DIESEL Weed AAA+'
rugswhole,0.002324,Drugs,Empathogens,Ecstasy,'2 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.002568,Drugs,Cannabis,Hash,'2 gr Karamell Hash'
rugswhole,0.00284,Drugs,Stimulants,Cocaine,'0,25 gr. high quality Pure Cocaine'
rugswhole,0.004131,Drugs,Empathogens,Ecstasy,'5 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.004776,Drugs,Stimulants,Cocaine,'0,5 gr. high quality Pure Cocaine'
rugswhole,0.005418,Drugs,Cannabis,Hash,'5 gr Karamell Hash'
rugswhole,0.006712,Drugs,Empathogens,Ecstasy,'10 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.008649,Drugs,Stimulants,Cocaine,'1 gr. high quality Pure Cocaine'
rugswhole,0.009886,Drugs,Cannabis,Hash,'10 gr Karamell Hash'
rugswhole,0.013037,Drugs,Empathogens,Ecstasy,'25 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.018232,Drugs,Cannabis,Hash,'20 gr Karamell Hash'
rugswhole,0.019621,Drugs,Stimulants,Cocaine,'2,5 gr. high quality Pure Cocaine'
rugswhole,0.022202,Drugs,Empathogens,Ecstasy,'50 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.035756,Drugs,Stimulants,Cocaine,'5 gr. high quality Pure Cocaine'
rugswhole,0.037047,Drugs,Empathogens,Ecstasy,'100 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.038775,Drugs,Cannabis,Hash,'50 gr Karamell Hash'
rugswhole,0.0648,Drugs,Stimulants,Cocaine,'10 gr. high quality Pure Cocaine'
rugswhole,0.070874,Drugs,Cannabis,Hash,'100 gr Karamell Hash'
rugswhole,0.084162,Drugs,Empathogens,Ecstasy,'250 x Ferrari Yellow/Green XTC 200-220mg Pills'
rugswhole,0.116433,Drugs,Stimulants,Cocaine,'20 gr. high quality Pure Cocaine'
rugswhole,0.122887,Drugs,Empathogens,Ecstasy,'500 x Ferrari Yellow/Green XTC 200-220mg Pills'
r-whit3,0.000115,Other products,Digital items,Other digital,'Netflix Account [ USA ] Super Offer !'
r-whit3,0.000115,Other products,Digital items,Other digital,'Spotify Account Premium [ Offer ]'
r-whit3,0.000209,Other products,Digital items,Identity data,'USA - Personal Info / SSN'
r-whit3,0.000626,Other products,Digital items,Other digital,'Verified EU Paypal Accounts'
r-whit3,0.000627,Other products,Digital items,Other digital,'custom listing gh1'
r-whit3,0.000731,Other products,Digital items,Other digital,'custom listing mc1'
r-whit3,0.000733,Other products,Digital items,Other digital,'custom listing s11'
r-whit3,0.000784,Other products,Digital items,Other digital,'★ 100$ US Paypal Accounts Balance ★'
r-whit3,0.000837,Other products,Digital items,Other digital,'custom listing d1'
r-whit3,0.000837,Other products,Digital items,Other digital,'custom listing s1'
r-whit3,0.000838,Other products,Digital items,Other digital,'custom listing b1'
r-whit3,0.001256,Other products,Digital items,Other digital,'custom listing alp1'
r-whit3,0.001257,Other products,Digital items,Other digital,'custom listing dy1'
r-whit3,0.001257,Other products,Digital items,Other digital,'custom listing tk1'
r-whit3,0.001257,Other products,Digital items,Other digital,'custom listing w1'
r-whit3,0.001466,Other products,Digital items,Other digital,'custom listing f11'
r-whit3,0.001566,Other products,Digital items,Guides and tutorials,'Complete Cashout Guides For Paypal/Socks/How To be Safe !!'
r-whit3,0.001781,Other products,Digital items,Other digital,'custom listing yss1'
r-whit3,0.001878,Other products,Digital items,Other digital,'100$ Account Balance + 10 US Verified Accounts '
r-whit3,0.001878,Other products,Digital items,Other digital,'200$ US Paypal Balance + 200$ PP Acc For Free [ SUPPER OFFER ]'
r-whit3,0.002095,Other products,Digital items,Other digital,'custom listing cs1'
r-whit3,0.002295,Other products,Digital items,Other digital,'custom listing j1'
r-whit3,0.002514,Other products,Digital items,Other digital,'custom listing r1'
r-whit3,0.002717,Other products,Digital items,Other digital,'custom listing z11'
r-whit3,0.002723,Other products,Digital items,Other digital,'custom listing p11'
