vendor,price,cat1,cat2,cat3,title
bathramme,0.003064,Drugs,Pharmacy,Benzos,"LYRICA(Pregabalin) 5 pc's 150mg by PFZER"
bathramme,0.003065,Drugs,Cannabis,Weed," 5 x Black Bomb(0.4g) pre-rolled joints"
bathramme,0.003065,Drugs,Cannabis,Weed," 5 x Blue Cheese(0.4g) pre-rolled joints"
bathramme,0.003065,Drugs,Cannabis,Weed," 5 x K-13(0.4g) pre-rolled joints"
bathramme,0.003065,Drugs,Cannabis,Weed,"5 x Sour Diesel(0.4g) pre-rolled joints"
bathramme,0.003068,Drugs,Cannabis,Weed,"Black Bomb(2.2g) outdoor weed"
bathramme,0.003068,Drugs,Cannabis,Weed," Early Maroc(2.2g) 100%Sativa!"
bathramme,0.003068,Drugs,Cannabis,Weed,"Monster(2.2g) outdoor weed"
bathramme,0.003193,Drugs,Cannabis,Weed,"5 x Mega Mouth(0.4g) pre-rolled joints"
bathramme,0.003194,Drugs,Cannabis,Weed,"5 x Monster(0.4g) pre-rolled joints"
bathramme,0.003321,Drugs,Cannabis,Weed,"5 x Early Maroc(0.4g) pre-rolled joints 100% Sativa!"
bathramme,0.003449,Drugs,Pharmacy,Benzos,"XANAX (ALPRAZOLAM) 0.5 MG x 25 by PFIZER"
bathramme,0.003453,Drugs,Pharmacy,Benzos,"ALPRAZOLAM-FRONTIN(XANAX-)0.25mg  50 pieces by EGIS"
bathramme,0.003454,Drugs,Pharmacy,Benzos," XANAX ALPRAZOLAM 2 MG x 10 by PFIZER"
bathramme,0.003966,Drugs,Pharmacy,Benzos,"XANAX-ALPRAZOLAM-0.25mg  50 pieces by Pfizer"
bathramme,0.004159,Drugs,Pharmacy,Benzos,"Medazepam / 10mg/ Rudotel by TEVA / 25 pieces"
bathramme,0.004351,Drugs,Pharmacy,Benzos,"XANAX ALPRAZOLAM SR 0.5 MG x 30 by PFIZER"
bathramme,0.004603,Drugs,Pharmacy,Benzos,"Dormicum(midazolam)15mg10 piecesby EGIS"
bathramme,0.004993,Drugs,Cannabis,Weed,"Mega Mouth(5g) outdoor weed"
bathramme,0.004993,Drugs,Pharmacy,Benzos,"25 x Medazepam 10mg by TEVA"
bathramme,0.005116,Drugs,Pharmacy,Benzos,"RIVOTRIL CLONAZEPAM 2mg 50 pieces by ROCHE"
bathramme,0.005121,Drugs,Cannabis,Weed,"Blue Cheese(5g) outdoor weed"
bathramme,0.00525,Drugs,Cannabis,Weed,"Black Bomb(5g) outdoor weed"
bathramme,0.005378,Drugs,Cannabis,Weed,"Early Maroc(5g) 100%Sativa!"
bathramme,0.005635,Drugs,Cannabis,Weed,"K-13(5g) outdoor weed"
bathramme,0.005763,Drugs,Pharmacy,Benzos,"ALPRAZOLAM-FRONTIN(XANAX-)0.25mg  100 pieces by EGIS"
bathramme,0.00602,Drugs,Cannabis,Weed,"Monster(5g) outdoor weed"
bathramme,0.006271,Drugs,Pharmacy,Benzos,"XANAX (ALPRAZOLAM) SR 1 mg x 30 by PFIZER"
bathramme,0.00627,Drugs,Pharmacy,Benzos,"XANAX (ALPRAZOLAM) 0.5 MG x 50 by PFIZER"
bathramme,0.006527,Drugs,Cannabis,Weed,"5 x Mega Mouth(1g) pre-rolled joint!weed only-no tobacco!"
bathramme,0.006912,Drugs,Cannabis,Weed,"5 x Black Bomb(1g) pre-rolled joints !weed only-no tobacco!"
