name,rev,pos,neg,ships
'doctor-lisa',648,185,0,''
'drugsofspain',10000,373,13,''
'salamanca',10000,920,2,'Finland'
'uniqueuk2',37,0,0,''
'leaguemode',0,0,0,''
'ibank',15,0,0,''
'lsd-shop',42,0,0,''
'chemical_usa',10000,665,1,'UnitedStates'
'scripps',0,0,0,''
'highway-to-hell',10000,521,10,''
'revolutionman',0,0,0,''
'drugs-total',6120,181,9,''
'platinum45',10000,26,1,'UnitedStates'
'dr-whit3',7007,147,10,'Finland'
'nuuskatukku',10000,549,7,''
'topp-gear',2669,93,1,''
'homeofdrugs',8782,225,1,''
'mr-digital',59,0,0,''
'lawnmowerman',10000,1600,1,'UnitedStates'
'peters-garden',10000,318,9,''
'love2xlr8',10000,434,61,'Netherlands,Belgium'
'kbueno',0,0,0,''
'fairexchange',0,0,0,''
'heisenbarg',0,0,0,''
'royal-drugs',9408,191,1,''
'cana-king',6474,199,5,''
'bigwillie54',0,0,0,''
'n7cqcw3d',0,0,0,''
'spiritbutler',0,0,0,''
'chemicalstore',10000,273,5,''
'xnecromancy',0,0,0,''
'snorbuse',683,9,0,'Sweden'
'acab840',0,0,0,''
