vendor,price,cat1,cat2,cat3,title
diilahfin,0.005772,Drugs,Opiates,Buprenorphine,'Temgesic 0,4mg 5kpl'
theshop,0.000103,Other products,Services,n/a,'♕ How To Be A Pro Carder ♕'
cerberus,0.003208,Other products,Classifieds,Replicas,'Michael Kors sandals Black'
prisma,0.01161,Drugs,Cannabis,Weed,'LOPPUERÄ!! 5g Jack Herer Talvikukkia (18€/g)'
dreamdoc,0.068414,Other products,Services,Money,'Super Best Quality counterfeit Notes 200x$10= $2000 Promotion'
ukweedshop,0.00379,Drugs,Cannabis,Weed,'3.5G £26 Medicinal Marihuana'
appleinc,0.004906,Drugs,Pharmacy,Benzos,'25 x 10mg Roche Diazepam (Loose)'
johnson-johnson,0.001458,Drugs,Stimulants,Cocaine,'1g Speed Paste 72% - Amphetamine Paste'
cocacolafr,0.005938,Drugs,Empathogens,MDMA,'3g MDMA 84% TOP QUALITY'
harrispowell,0.026185,Drugs,Pharmacy,Sleep,'Xanax Bars 2mg 100 pills'
drugs-spirit,0.002825,Drugs,Cannabis,Weed,'2 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
orangeone,0.004237,Drugs,Pharmacy,Benzos,'FREE SHIPPING-20 pils of 1 mg. Xanax original product Pfizer'
rocketchem,0.015025,,Drugs,Pharmacy,'Modalert ® 200 tablets 200mg of Modafinil by Sun pharma'
galaxystore,0.006562,Drugs,Psychedelics,LSD,'⌛ 10pcs LSD-25 180ug ☯ GalaxyStore ⌛'
mrgoodguys,0.006167,,Drugs,Cannabis,'Tracking and Shipping'
charliechaplame,0.04237,,Other products,Classifieds,'quality Counterfeit 12 x 10,000 japanese yen note bill '
drugs-evil,0.052924,Drugs,Stimulants,Cocaine,' 7 GR COCAINE CRISTAL VERY STRONG 92% ORGINAIL TOP AAA+++'
underground-drugs,0.002967,Drugs,Stimulants,Cocaine,' 0.25 gr PURE QUALITY COLOMBIAN COCAIN '
powderpharmacy,0.282351,Drugs,Psychedelics,LSD,'125ug 1000 x ALD-52 or 1P-LSD Blotter'
unique,0.007145,Drugs,Pharmacy,Benzos,'10 x Xanor® 2mg (sealed bottle w/description and carton for 100x)'
charliechaplame,0.01357,Drugs,Pharmacy,Pain,'30 Xanax ( Alprazplam ) 3mg customized order '
goingpostai,0.031302,Drugs,Dissociatives,Ketamine,'5.0 GRAMS KETAMINE S-ISOMER -REAGENT TESTED'
dope-store,0.038721,Drugs,Empathogens,Ecstasy,'100 x Ikea XTC 200mg+ MDMA'
hollanpetters,0.041791,Other products,Self-defence,Guns and ammo,'Taurus RAGING HORNET, 22 Hornet, Like New, 8 Shot, 10&quot; Barrel'
wendy,0.001046,Other products,Digital items,Erotica,'Brazilian-transsexuals - [PORN LIFETIME ACCOUNT]'
qualityhydrobuds,0.004259,Drugs,Cannabis,Weed,'LSD Feminized 5 Seeds *Free Post*'
doktorgreen,0.002052,Drugs,Cannabis,Weed,'1g Enemy of the State Worldclass Medical Cannabis AAA++'
md,0.00313,Drugs,Dissociatives,Salvia,'Salvia Divinorum 10X extract - 1 GRAM '
fakeid4worldwide,0.001246,Other products,Services,Fake IDs,'TEMPLATE UK PASSPORT PSD!!! (EDITABLE)'
weedtastic,1.200863,Drugs,Cannabis,Hash,'Marrocan Ketama 3000 Gram'
drugswhole,0.038775,Drugs,Cannabis,Hash,'50 gr Karamell Hash'
misterpills,0.005237,Other products,Body building,Testosterone,'TESTOSTERONE ENANTHATE PLACE YOUR ORDER NOW'
