'/italia',0.035637,'Drugs','Cannabis','Hash',' Culero hashish 50 grams '
'/wendy',0.001046,'Other products','Digital items','Erotica','VIVTHOMAS - [PORN LIFETIME ACCOUNT]'
'/cbdqueenuk',0.0,'Drugs','Cannabis','Weed','224g OG Kush greenhouse grown'
'/pokedexta',0.116175,'Drugs','Empathogens','MDMA','500 XTC Yellow Pikachu 210mg '
'/dreamdoc',0.118111,'Other products','Services','Money','Super Best Quality counterfeit Notes 200x$20= $4000 Promotion!!'
'/harlemknight',0.006535,'Drugs','Stimulants','Cocaine','1 grams of high quality cocaine'
'/simon-labond',4.396055,'Drugs','Stimulants','Cocaine','1 Kilogram Fishscale Peruvian Cocaine Full Brick SUPER Sale Price'
'/chemical_usa',0.838391,'Drugs','Opiates','Fentanyl','Custom jarez'
'/white-house',0.004776,'Drugs','Stimulants','Crack','0,5 gr. uncut Raw Crack Cocaine Freebase Peruvian'
'/theshop',0.000208,'','Other products','Digital items','♕ Make $100 per Day Using Instagram ♕'
'/pol1',0.124418,'Drugs','Stimulants','Amphetamine','4-MPD 4-MEAP ★ shipping from EU★ 500 grams'
'/stealthmeds',0.003068,'Drugs','Pharmacy','',' SERTRALINE 100MG X28 TABLETS '
'/idealpills',0.092899,'Drugs','Pharmacy','Benzos','950x Xanax 1 MG Pills (Loose)'
'/jack_frost',0.010858,'Drugs','Stimulants','Cocaine','★★★3.5G sociable cocaine -  FREE SHIPPING, ESCROW ★★★'
'/redface33',0.22497,'Other products','Self-defence','Explosives','One Glock 17'
'/rxhind',0.081414,'','Drugs','Pharmacy','Tramadol 50mg x 1000 pills - Offer 20% extra'
'/dreamdoc',0.068414,'Other products','Services','Money','Super Best Quality counterfeit Notes 40x$50= $2000 Promotion!!'
'/deepmeds',0.022564,'Drugs','Stimulants','','Ritalin (Methylphenidate) 10 MG 140 Pills'
'/deepstatus',0.007724,'Drugs','Stimulants','Cocaine','1g  Colombian Cocaine 90% ♛ Premium Quality'
